"Species","Presences","Absences","Total","Prevalence_Percent"
"Desmophyllum.dianthus",3991,77121,81112,4.92
"Anthomastus",3291,77821,81112,4.06
"Paramuricea",2821,78291,81112,3.48
"Acanthogorgia",1884,79228,81112,2.32
"Paragorgia",1550,79562,81112,1.91
"Protoptilum",1462,79650,81112,1.8
"Kophobelemnon",1173,79939,81112,1.45
"Parantipathes",1127,79985,81112,1.39
"Acanella",983,80129,81112,1.21
"Solenosmilia.variabilis",947,80165,81112,1.17
"Anthothela.grandiflora",924,80188,81112,1.14
"Primnoa",892,80220,81112,1.1
"Swiftia",771,80341,81112,0.95
"Balticina",404,80708,81112,0.5
"Thouarella",378,80734,81112,0.47
"Trachythela.rudis",330,80782,81112,0.41
"Radicipes",302,80810,81112,0.37
"Pennatula",300,80812,81112,0.37
"Distichoptilum",298,80814,81112,0.37
"Desmophyllum.pertusum",295,80817,81112,0.36
"Bathypathes",225,80887,81112,0.28
"Chrysogorgia",187,80925,81112,0.23
"Telopathes.magna",143,80969,81112,0.18
"Funiculina",144,80968,81112,0.18
"Stichopathes",72,81040,81112,0.09
"Umbellula",41,81071,81112,0.05
"Stauropathes",15,81097,81112,0.02
